127.923
104.17.183.118	10317	9956
159.178.108.111	10188	9848
104.154.198.228	9845	9835
187.237.14.200	9767	9747
159.178.237.53	9705	9681
70.187.95.95	9540	9510
52.84.76.175	9457	9450
103.26.37.253	9333	9324
165.215.209.15	9148	8982
88.231.33.95	8984	8968
73.224.42.241	8956	8910
23.202.88.31	8838	8462
159.178.107.44	8834	8698
159.178.102.100	8777	8733
54.230.161.109	8777	8673
216.52.195.182	8587	8584
96.7.182.150	8483	8364
69.252.101.144	8417	7763
104.92.17.82	8390	8390
52.206.176.175	8225	4293
157.55.39.140	8070	8058
149.169.208.76	8035	8030
174.221.4.78	7960	998
98.18.16.218	7960	6944
128.227.112.222	7916	7904
104.16.89.188	7881	7867
66.249.64.14	7731	7701
159.178.112.71	7651	7315
159.178.137.117	7602	7581
156.154.65.196	7599	7597
34.206.148.175	7520	7485
91.198.117.247	7418	7394
192.210.199.106	7388	7374
63.251.240.12	7380	7380
174.70.89.126	7356	7291
8.27.160.227	7292	7272
68.64.22.136	7264	7262
95.101.36.67	7254	6666
172.217.8.80	7193	7187
120.239.64.18	7176	7122
159.178.115.102	7072	7063
159.178.129.112	7034	7011
73.224.76.160	6990	6946
71.6.146.185	6808	6808
159.178.129.91	6791	6783
209.112.113.33	6764	6487
159.178.119.40	6752	6164
98.18.150.191	6728	6714
99.108.33.137	6726	3942
112.198.103.2	6666	6652
54.192.205.183	6569	6537
159.178.108.48	6520	6501
159.178.100.162	6392	6392
198.245.89.70	6370	6296
205.251.197.99	6321	737
171.161.207.200	6158	6136
159.178.100.33	6124	5996
159.178.100.82	6062	6058
66.231.139.112	6054	5862
207.46.13.156	6000	5892
178.33.214.223	5957	5946
159.178.100.84	5938	5867
159.178.32.133	5900	5890
159.178.109.180	5804	5744
198.102.61.236	5792	5752
66.87.114.206	5722	5722
107.77.218.214	5716	5254
204.74.115.1	5693	5681
69.172.201.238	5690	5690
159.178.96.156	5625	4992
128.227.220.36	5596	5525
149.111.148.27	5587	5421
104.92.16.146	5573	5571
35.190.151.98	5561	5524
54.192.205.60	5545	5543
99.166.162.58	5538	5530
167.68.20.174	5506	5423
199.204.59.137	5506	5472
40.76.218.33	5413	5386
23.15.61.170	5398	5396
212.227.17.4	5370	5356
184.50.26.236	5254	5254
24.236.111.9	5240	5216
96.7.49.194	5232	5139
209.73.179.8	5187	5108
59.45.175.56	5174	5172
216.200.96.194	5172	5168
216.58.219.67	5124	5122
128.227.236.254	5120	5102
69.241.99.178	5078	4769
159.178.108.184	5076	5038
104.92.12.53	5012	5000
104.17.8.41	5009	4932
208.80.124.2	5001	5001
208.80.125.4	4971	4966
170.146.96.193	4946	4926
128.227.71.18	4938	4926
188.184.36.52	4928	4904
128.227.111.65	4890	4878
159.178.100.234	4872	4717
