354.178
187.237.14.200	10670	9747
52.84.76.175	10507	9450
104.17.183.118	9940	9956
159.178.237.53	9906	9681
159.178.108.111	9840	9848
104.154.198.228	9839	9835
70.187.95.95	9510	9510
103.26.37.253	9324	9324
88.231.33.95	8954	8968
73.224.42.241	8878	8910
222.93.14.206	8788	38
54.230.161.109	8715	8673
159.178.102.100	8703	8733
159.178.107.44	8682	8698
23.202.88.31	8659	8462
216.52.195.182	8580	8584
165.215.209.15	8520	8982
104.92.17.82	8388	8390
96.7.182.150	8344	8364
157.55.39.140	8081	8058
104.16.89.188	8017	7867
128.227.112.222	8008	7904
69.252.101.144	7722	7763
66.249.64.14	7713	7701
159.178.137.117	7636	7581
149.169.208.76	7558	8030
98.18.16.218	7513	6944
34.206.148.175	7499	7485
159.178.129.112	7436	7011
156.154.65.196	7425	7597
63.251.240.12	7392	7380
38.108.96.5	7329	2
192.210.199.106	7329	7374
159.178.112.71	7313	7315
91.198.117.247	7284	7394
68.64.22.136	7272	7262
8.27.160.227	7252	7272
172.217.8.80	7248	7187
120.239.64.18	7133	7122
159.178.108.48	7082	6501
184.150.227.62	7082	570
159.178.115.102	7061	7063
112.198.103.2	6933	6652
207.46.13.156	6928	5892
24.10.138.21	6928	962
73.224.76.160	6924	6946
59.67.64.13	6836	123
173.15.191.209	6836	198
71.6.146.185	6815	6808
159.178.129.91	6802	6783
98.18.150.191	6683	6714
95.101.36.67	6662	6666
27.224.68.26	6560	2
54.192.205.183	6529	6537
209.112.113.33	6471	6487
159.178.100.162	6408	6392
198.245.89.70	6322	6296
174.70.89.126	6320	7291
109.132.208.248	6320	8
201.92.129.186	6154	2
159.178.100.84	6154	5867
171.161.207.200	6138	6136
159.178.119.40	6103	6164
159.178.100.82	6041	6058
159.178.100.33	5986	5996
159.178.32.133	5904	5890
198.102.61.236	5879	5752
66.231.139.112	5860	5862
178.33.214.223	5734	5946
66.87.114.206	5722	5722
69.172.201.238	5696	5690
159.178.109.180	5672	5744
204.74.115.1	5671	5681
104.92.16.146	5633	5571
54.192.205.60	5617	5543
159.178.96.156	5616	4992
99.166.162.58	5601	5530
24.170.205.131	5563	1344
35.190.151.98	5544	5524
128.227.220.36	5525	5525
181.46.166.112	5493	2
167.68.20.174	5434	5423
71.14.0.190	5431	3
62.245.118.173	5413	8
195.76.10.182	5413	6
107.77.218.214	5375	5254
212.227.17.4	5346	5356
149.111.148.27	5331	5421
184.50.26.236	5244	5254
199.204.59.137	5230	5472
24.236.111.9	5222	5216
40.76.218.33	5207	5386
216.200.96.194	5168	5168
96.7.49.194	5139	5139
52.22.72.157	5138	2924
128.227.236.254	5112	5102
216.58.219.67	5106	5122
104.17.8.41	5095	4932
59.45.175.56	5072	5172
104.24.118.74	5063	122
